batch_id,inventory_date,product_name,brand,unit,packaging_type,sales_channel,production_date,expiration_date,quantity_received,quantity_sold,quantity_in_stock,expected_stock,stock_discrepancy,minimum_stock_threshold,reorder_quantity,days_until_expiration,stock_status,expiration_status
BAT-000039,2022-10-18,Milk,Amul,liters,Polythene Packet,Retail,2022-08-19,2022-08-21,468.17,239,229,229.17,-0.17,73.21,155.82,-58,Sufficient,Expired
BAT-000040,2021-03-22,Milk,Sudha,liters,Polythene Packet,Online,2021-02-17,2021-02-19,319.33,48,271,271.33,-0.33,17.97,113.1,-31,Sufficient,Expired
BAT-000042,2021-08-11,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2021-06-18,2021-07-15,19.04,13,6,6.04,-0.04,39.35,179.68,-27,Low Stock,Expired
BAT-000043,2019-02-09,Milk,Amul,liters,Polythene Packet,Online,2018-12-16,2018-12-18,426.31,227,199,199.31,-0.31,42.18,64.97,-53,Sufficient,Expired
BAT-000044,2021-06-11,Milk,Raj,liters,Polythene Packet,Retail,2021-05-17,2021-05-18,898.49,190,708,708.49,-0.49,39.55,94.02,-24,Sufficient,Expired
BAT-000045,2021-04-19,Milk,Amul,liters,Polythene Packet,Online,2021-04-11,2021-04-12,801.1,48,753,753.1,-0.1,80.28,42.85,-7,Sufficient,Expired
BAT-000047,2019-07-13,Milk,Sudha,liters,Tetra Pack,Online,2019-07-09,2019-08-01,164.22,43,121,121.22,-0.22,50.13,143.37,19,Sufficient,Safe
BAT-000048,2020-04-24,Milk,Sudha,liters,Tetra Pack,Wholesale,2020-03-14,2020-04-06,15.02,6,9,9.02,-0.02,67.32,46.3,-18,Low Stock,Expired
BAT-000049,2022-09-14,Milk,Sudha,liters,Polythene Packet,Online,2022-07-25,2022-07-26,108.18,77,31,31.18,-0.18,75.49,199.03,-50,Low Stock,Expired
BAT-000050,2022-03-06,Milk,Mother Dairy,liters,Tetra Pack,Retail,2022-02-11,2022-03-09,930.13,332,598,598.13,-0.13,67.8,32.51,3,Sufficient,Urgent
BAT-000051,2019-09-03,Milk,Raj,liters,Tetra Pack,Online,2019-08-29,2019-09-21,647.09,298,349,349.09,-0.09,71.78,175.27,18,Sufficient,Safe
BAT-000052,2021-02-26,Milk,Amul,liters,Polythene Packet,Wholesale,2021-01-29,2021-01-30,42.46,15,27,27.46,-0.46,31.76,23.44,-27,Low Stock,Expired
BAT-000054,2021-11-18,Milk,Raj,liters,Polythene Packet,Online,2021-10-10,2021-10-12,325.32,42,283,283.32,-0.32,39.04,144.76,-37,Sufficient,Expired
BAT-000055,2021-08-05,Milk,Raj,liters,Tetra Pack,Retail,2021-07-15,2021-08-14,759.06,483,276,276.06,-0.06,44.58,180.18,9,Sufficient,Safe
BAT-000056,2020-05-23,Milk,Raj,liters,Polythene Packet,Retail,2020-04-12,2020-04-14,244.06,186,58,58.06,-0.06,38.47,106.8,-39,Sufficient,Expired
BAT-000059,2021-09-28,Milk,Raj,liters,Tetra Pack,Online,2021-08-17,2021-09-16,587.06,109,478,478.06,-0.06,90.08,58.32,-12,Sufficient,Expired
BAT-000062,2019-10-15,Milk,Sudha,liters,Tetra Pack,Wholesale,2019-09-03,2019-09-25,698.27,169,529,529.27,-0.27,77.14,175.16,-20,Sufficient,Expired
BAT-000063,2022-02-13,Milk,Raj,liters,Polythene Packet,Retail,2022-01-23,2022-01-25,796.06,315,481,481.06,-0.06,81.68,174.5,-19,Sufficient,Expired
BAT-000064,2022-01-01,Milk,Amul,liters,Polythene Packet,Wholesale,2021-11-27,2021-11-28,682.17,145,537,537.17,-0.17,13.29,83.16,-34,Sufficient,Expired
BAT-000067,2019-01-18,Milk,Sudha,liters,Polythene Packet,Online,2019-01-07,2019-01-08,761.45,9,752,752.45,-0.45,37.43,124.16,-10,Sufficient,Expired
BAT-000068,2020-09-04,Milk,Raj,liters,Tetra Pack,Retail,2020-07-09,2020-08-02,816.47,275,541,541.47,-0.47,30.21,57.87,-33,Sufficient,Expired
BAT-000071,2021-05-27,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2021-05-05,2021-05-07,770.09,294,476,476.09,-0.09,20.99,93.27,-20,Sufficient,Expired
BAT-000072,2022-12-24,Milk,Raj,liters,Polythene Packet,Wholesale,2022-12-10,2022-12-11,446.48,359,87,87.48,-0.48,69.66,143.8,-13,Sufficient,Expired
BAT-000073,2022-11-23,Milk,Mother Dairy,liters,Polythene Packet,Online,2022-11-05,2022-11-06,22.36,11,11,11.36,-0.36,56.08,181.59,-17,Low Stock,Expired
BAT-000074,2021-04-22,Milk,Mother Dairy,liters,Polythene Packet,Retail,2021-03-13,2021-03-14,896.14,740,156,156.14,-0.14,14.76,130.28,-39,Sufficient,Expired
BAT-000075,2020-04-27,Milk,Sudha,liters,Polythene Packet,Wholesale,2020-04-24,2020-04-25,937.13,858,79,79.13,-0.13,24.78,197.52,-2,Sufficient,Expired
BAT-000076,2019-12-16,Milk,Mother Dairy,liters,Tetra Pack,Retail,2019-11-20,2019-12-13,550.05,346,204,204.05,-0.05,82.92,121.39,-3,Sufficient,Expired
BAT-000077,2021-06-01,Milk,Mother Dairy,liters,Tetra Pack,Online,2021-05-10,2021-06-05,951.0,441,510,510.0,0.0,47.65,160.84,4,Sufficient,Expiring Soon
BAT-000079,2019-03-08,Milk,Raj,liters,Tetra Pack,Retail,2019-02-17,2019-03-18,967.46,574,393,393.46,-0.46,50.6,103.15,10,Sufficient,Safe
BAT-000080,2019-01-06,Milk,Sudha,liters,Polythene Packet,Retail,2018-11-18,2018-11-20,502.03,41,461,461.03,-0.03,96.67,111.41,-47,Sufficient,Expired
BAT-000083,2021-10-01,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2021-09-29,2021-09-30,620.0,543,77,77.0,0.0,53.51,121.96,-1,Sufficient,Expired
BAT-000085,2020-06-11,Milk,Amul,liters,Tetra Pack,Retail,2020-04-23,2020-05-18,633.39,430,203,203.39,-0.39,97.82,32.83,-24,Sufficient,Expired
BAT-000088,2020-01-22,Milk,Mother Dairy,liters,Tetra Pack,Retail,2019-12-01,2019-12-24,210.11,32,178,178.11,-0.11,96.49,56.35,-29,Sufficient,Expired
BAT-000089,2021-09-21,Milk,Sudha,liters,Polythene Packet,Wholesale,2021-09-06,2021-09-08,785.16,90,695,695.16,-0.16,60.77,42.52,-13,Sufficient,Expired
BAT-000090,2020-05-22,Milk,Sudha,liters,Tetra Pack,Wholesale,2020-04-21,2020-05-12,495.25,411,84,84.25,-0.25,74.82,189.27,-10,Sufficient,Expired
BAT-000092,2022-12-23,Milk,Amul,liters,Polythene Packet,Retail,2022-10-31,2022-11-02,306.48,29,277,277.48,-0.48,44.21,107.88,-51,Sufficient,Expired
BAT-000095,2022-03-27,Milk,Mother Dairy,liters,Polythene Packet,Online,2022-02-22,2022-02-24,912.1,148,764,764.1,-0.1,47.65,105.42,-31,Sufficient,Expired
BAT-000096,2019-09-05,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2019-09-03,2019-10-03,909.03,443,466,466.03,-0.03,61.92,80.24,28,Sufficient,Safe
BAT-000097,2019-01-11,Milk,Amul,liters,Tetra Pack,Retail,2018-12-07,2018-12-30,842.01,668,174,174.01,-0.01,40.56,121.29,-12,Sufficient,Expired
BAT-000098,2021-08-15,Milk,Raj,liters,Tetra Pack,Online,2021-07-25,2021-08-19,247.12,204,43,43.12,-0.12,56.69,89.35,4,Low Stock,Expiring Soon
BAT-000100,2019-05-14,Milk,Sudha,liters,Tetra Pack,Online,2019-05-11,2019-06-09,475.09,272,203,203.09,-0.09,50.18,21.39,26,Sufficient,Safe
BAT-000105,2021-04-23,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2021-03-27,2021-04-18,789.19,134,655,655.19,-0.19,73.28,135.61,-5,Sufficient,Expired
BAT-000106,2021-09-16,Milk,Amul,liters,Polythene Packet,Wholesale,2021-08-10,2021-08-12,903.11,82,821,821.11,-0.11,43.27,84.5,-35,Sufficient,Expired
BAT-000111,2022-02-25,Milk,Amul,liters,Tetra Pack,Retail,2022-01-01,2022-01-26,86.18,9,77,77.18,-0.18,30.22,111.99,-30,Sufficient,Expired
BAT-000112,2022-12-08,Milk,Raj,liters,Polythene Packet,Wholesale,2022-12-03,2022-12-04,745.37,395,350,350.37,-0.37,55.1,146.82,-4,Sufficient,Expired
BAT-000113,2022-05-14,Milk,Amul,liters,Polythene Packet,Wholesale,2022-04-10,2022-04-12,280.37,176,104,104.37,-0.37,13.6,48.83,-32,Sufficient,Expired
BAT-000114,2019-10-25,Milk,Mother Dairy,liters,Polythene Packet,Online,2019-09-24,2019-09-25,535.48,356,179,179.48,-0.48,63.54,82.64,-30,Sufficient,Expired
BAT-000116,2019-05-03,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2019-04-10,2019-05-08,369.22,63,306,306.22,-0.22,38.74,196.02,5,Sufficient,Expiring Soon
BAT-000121,2021-06-08,Milk,Amul,liters,Tetra Pack,Wholesale,2021-04-21,2021-05-13,78.11,65,13,13.11,-0.11,82.41,43.17,-26,Low Stock,Expired
BAT-000122,2022-05-07,Milk,Mother Dairy,liters,Polythene Packet,Online,2022-03-10,2022-03-11,897.29,120,777,777.29,-0.29,84.39,142.04,-57,Sufficient,Expired
BAT-000125,2019-10-09,Milk,Sudha,liters,Polythene Packet,Online,2019-09-27,2019-09-29,659.02,511,148,148.02,-0.02,59.9,109.48,-10,Sufficient,Expired
BAT-000127,2022-05-21,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2022-04-18,2022-04-19,850.28,90,760,760.28,-0.28,94.08,34.38,-32,Sufficient,Expired
BAT-000129,2019-11-26,Milk,Raj,liters,Polythene Packet,Retail,2019-09-28,2019-09-30,230.26,60,170,170.26,-0.26,47.35,129.45,-57,Sufficient,Expired
BAT-000135,2019-10-18,Milk,Amul,liters,Polythene Packet,Online,2019-09-08,2019-09-09,538.15,449,89,89.15,-0.15,27.02,55.92,-39,Sufficient,Expired
BAT-000136,2020-03-02,Milk,Mother Dairy,liters,Tetra Pack,Retail,2020-01-08,2020-02-06,31.22,8,23,23.22,-0.22,93.2,192.03,-25,Low Stock,Expired
BAT-000137,2019-05-10,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2019-04-23,2019-04-24,892.02,367,525,525.02,-0.02,82.21,198.54,-16,Sufficient,Expired
BAT-000142,2022-01-26,Milk,Raj,liters,Tetra Pack,Retail,2022-01-03,2022-01-27,611.23,218,393,393.23,-0.23,82.84,175.99,1,Sufficient,Urgent
BAT-000143,2020-06-03,Milk,Raj,liters,Polythene Packet,Online,2020-05-29,2020-05-30,493.25,216,277,277.25,-0.25,74.26,69.14,-4,Sufficient,Expired
BAT-000144,2021-02-23,Milk,Mother Dairy,liters,Polythene Packet,Online,2021-01-12,2021-01-13,31.15,4,27,27.15,-0.15,58.78,38.47,-41,Low Stock,Expired
BAT-000146,2019-01-24,Milk,Raj,liters,Polythene Packet,Retail,2018-12-04,2018-12-05,64.26,30,34,34.26,-0.26,64.93,46.34,-50,Low Stock,Expired
BAT-000147,2022-08-15,Milk,Sudha,liters,Tetra Pack,Online,2022-07-23,2022-08-18,989.42,940,49,49.42,-0.42,49.25,28.9,3,Low Stock,Urgent
BAT-000148,2019-09-16,Milk,Raj,liters,Tetra Pack,Retail,2019-07-25,2019-08-21,987.13,860,127,127.13,-0.13,97.87,187.62,-26,Sufficient,Expired
BAT-000149,2022-06-23,Milk,Amul,liters,Polythene Packet,Wholesale,2022-05-22,2022-05-23,564.5,74,490,490.5,-0.5,25.4,109.34,-31,Sufficient,Expired
BAT-000151,2019-09-27,Milk,Amul,liters,Polythene Packet,Online,2019-08-30,2019-08-31,577.13,540,37,37.13,-0.13,48.59,94.02,-27,Low Stock,Expired
BAT-000154,2022-07-22,Milk,Sudha,liters,Polythene Packet,Online,2022-07-12,2022-07-14,58.41,4,54,54.41,-0.41,27.99,128.83,-8,Sufficient,Expired
BAT-000157,2021-12-20,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2021-12-03,2021-12-27,985.23,540,445,445.23,-0.23,91.99,198.7,7,Sufficient,Expiring Soon
BAT-000159,2019-03-20,Milk,Mother Dairy,liters,Tetra Pack,Online,2019-03-06,2019-03-30,358.38,248,110,110.38,-0.38,64.05,175.77,10,Sufficient,Safe
BAT-000162,2021-02-08,Milk,Raj,liters,Tetra Pack,Online,2020-12-21,2021-01-18,574.44,106,468,468.44,-0.44,88.45,30.79,-21,Sufficient,Expired
BAT-000163,2021-07-05,Milk,Raj,liters,Polythene Packet,Retail,2021-05-10,2021-05-12,798.01,466,332,332.01,-0.01,22.0,186.81,-54,Sufficient,Expired
BAT-000167,2019-11-27,Milk,Sudha,liters,Tetra Pack,Wholesale,2019-11-14,2019-12-11,260.07,99,161,161.07,-0.07,23.86,103.08,14,Sufficient,Safe
BAT-000168,2022-09-03,Milk,Sudha,liters,Polythene Packet,Online,2022-08-20,2022-08-21,8.47,4,4,4.47,-0.47,30.33,47.43,-13,Low Stock,Expired
BAT-000174,2022-09-24,Milk,Amul,liters,Polythene Packet,Retail,2022-08-16,2022-08-18,168.46,48,120,120.46,-0.46,56.13,61.91,-37,Sufficient,Expired
BAT-000175,2020-09-26,Milk,Sudha,liters,Tetra Pack,Online,2020-08-10,2020-09-04,880.32,623,257,257.32,-0.32,41.65,63.14,-22,Sufficient,Expired
BAT-000178,2022-06-17,Milk,Mother Dairy,liters,Polythene Packet,Online,2022-05-19,2022-05-20,418.27,72,346,346.27,-0.27,45.27,184.41,-28,Sufficient,Expired
BAT-000179,2020-05-06,Milk,Raj,liters,Tetra Pack,Online,2020-03-12,2020-04-09,749.09,12,737,737.09,-0.09,12.59,165.41,-27,Sufficient,Expired
BAT-000181,2021-07-16,Milk,Amul,liters,Polythene Packet,Wholesale,2021-05-17,2021-05-19,483.26,94,389,389.26,-0.26,73.25,184.07,-58,Sufficient,Expired
BAT-000182,2021-12-10,Milk,Mother Dairy,liters,Tetra Pack,Online,2021-10-26,2021-11-16,760.49,207,553,553.49,-0.49,72.35,189.33,-24,Sufficient,Expired
BAT-000183,2019-03-02,Milk,Raj,liters,Tetra Pack,Wholesale,2019-02-16,2019-03-15,795.2,791,4,4.2,-0.2,18.76,84.51,13,Low Stock,Safe
BAT-000185,2022-09-11,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2022-08-01,2022-08-03,532.09,277,255,255.09,-0.09,42.86,116.18,-39,Sufficient,Expired
BAT-000186,2020-05-07,Milk,Sudha,liters,Tetra Pack,Online,2020-03-19,2020-04-14,576.38,374,202,202.38,-0.38,13.85,87.38,-23,Sufficient,Expired
BAT-000188,2019-02-18,Milk,Amul,liters,Polythene Packet,Wholesale,2018-12-25,2018-12-27,479.43,294,185,185.43,-0.43,58.43,46.56,-53,Sufficient,Expired
BAT-000189,2019-11-15,Milk,Sudha,liters,Tetra Pack,Wholesale,2019-09-17,2019-10-13,204.49,196,8,8.49,-0.49,56.41,197.06,-33,Low Stock,Expired
BAT-000190,2021-12-12,Milk,Mother Dairy,liters,Tetra Pack,Retail,2021-10-18,2021-11-16,402.5,259,143,143.5,-0.5,37.17,95.11,-26,Sufficient,Expired
BAT-000193,2020-06-26,Milk,Amul,liters,Tetra Pack,Online,2020-06-14,2020-07-12,413.19,38,375,375.19,-0.19,93.58,96.41,16,Sufficient,Safe
BAT-000194,2020-10-27,Milk,Raj,liters,Polythene Packet,Retail,2020-09-28,2020-09-30,745.07,254,491,491.07,-0.07,76.81,49.25,-27,Sufficient,Expired
BAT-000196,2022-03-13,Milk,Sudha,liters,Tetra Pack,Wholesale,2022-02-13,2022-03-12,660.22,29,631,631.22,-0.22,70.8,161.1,-1,Sufficient,Expired
BAT-000198,2022-12-10,Milk,Raj,liters,Polythene Packet,Retail,2022-12-08,2022-12-09,180.38,78,102,102.38,-0.38,46.6,164.57,-1,Sufficient,Expired
BAT-000201,2020-12-15,Milk,Amul,liters,Polythene Packet,Online,2020-11-26,2020-11-28,902.25,799,103,103.25,-0.25,40.74,113.74,-17,Sufficient,Expired
BAT-000203,2021-06-07,Milk,Sudha,liters,Polythene Packet,Retail,2021-04-29,2021-04-30,877.11,554,323,323.11,-0.11,82.44,45.48,-38,Sufficient,Expired
BAT-000206,2020-12-10,Milk,Raj,liters,Polythene Packet,Wholesale,2020-11-23,2020-11-25,953.34,761,192,192.34,-0.34,11.41,193.05,-15,Sufficient,Expired
BAT-000208,2019-12-01,Milk,Mother Dairy,liters,Tetra Pack,Online,2019-10-07,2019-10-29,288.01,274,14,14.01,-0.01,76.68,90.87,-33,Low Stock,Expired
BAT-000210,2021-10-18,Milk,Raj,liters,Tetra Pack,Retail,2021-08-22,2021-09-13,281.49,179,102,102.49,-0.49,80.09,107.59,-35,Sufficient,Expired
BAT-000215,2020-07-03,Milk,Amul,liters,Tetra Pack,Online,2020-05-09,2020-05-30,227.16,208,19,19.16,-0.16,28.02,53.76,-34,Low Stock,Expired
BAT-000216,2021-11-26,Milk,Sudha,liters,Polythene Packet,Wholesale,2021-11-15,2021-11-17,502.46,251,251,251.46,-0.46,72.61,32.41,-9,Sufficient,Expired
BAT-000217,2020-04-16,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2020-02-22,2020-03-22,908.35,199,709,709.35,-0.35,82.72,149.14,-25,Sufficient,Expired
BAT-000220,2022-05-19,Milk,Amul,liters,Tetra Pack,Wholesale,2022-04-06,2022-05-04,125.31,115,10,10.31,-0.31,68.79,143.09,-15,Low Stock,Expired
BAT-000222,2019-11-16,Milk,Raj,liters,Tetra Pack,Wholesale,2019-10-20,2019-11-11,760.19,710,50,50.19,-0.19,31.44,94.86,-5,Sufficient,Expired
BAT-000223,2021-03-01,Milk,Amul,liters,Polythene Packet,Online,2021-02-14,2021-02-15,304.49,244,60,60.49,-0.49,39.03,80.54,-14,Sufficient,Expired
BAT-000228,2020-10-18,Milk,Raj,liters,Tetra Pack,Wholesale,2020-09-20,2020-10-18,372.37,80,292,292.37,-0.37,47.01,114.99,0,Sufficient,Urgent
BAT-000232,2019-08-03,Milk,Amul,liters,Polythene Packet,Wholesale,2019-06-24,2019-06-26,380.1,235,145,145.1,-0.1,87.44,49.02,-38,Sufficient,Expired
BAT-000233,2020-02-11,Milk,Mother Dairy,liters,Tetra Pack,Online,2020-01-18,2020-02-14,644.42,485,159,159.42,-0.42,22.88,100.89,3,Sufficient,Urgent
BAT-000234,2019-04-12,Milk,Raj,liters,Tetra Pack,Retail,2019-03-20,2019-04-15,791.02,762,29,29.02,-0.02,12.29,184.83,3,Sufficient,Urgent
BAT-000235,2019-09-24,Milk,Mother Dairy,liters,Polythene Packet,Retail,2019-09-13,2019-09-14,347.23,153,194,194.23,-0.23,33.94,46.97,-10,Sufficient,Expired
BAT-000241,2022-02-19,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2022-01-16,2022-02-11,909.29,342,567,567.29,-0.29,97.11,149.32,-8,Sufficient,Expired
BAT-000243,2022-06-09,Milk,Sudha,liters,Polythene Packet,Retail,2022-06-03,2022-06-05,880.17,575,305,305.17,-0.17,12.99,126.88,-4,Sufficient,Expired
BAT-000244,2022-11-23,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2022-09-25,2022-10-19,107.48,58,49,49.48,-0.48,46.95,186.56,-35,Sufficient,Expired
BAT-000245,2020-01-22,Milk,Sudha,liters,Tetra Pack,Wholesale,2019-11-29,2019-12-25,558.02,520,38,38.02,-0.02,38.89,20.25,-28,Low Stock,Expired
BAT-000250,2019-11-19,Milk,Amul,liters,Tetra Pack,Retail,2019-10-17,2019-11-11,36.48,14,22,22.48,-0.48,79.69,192.48,-8,Low Stock,Expired
BAT-000255,2022-08-17,Milk,Mother Dairy,liters,Tetra Pack,Retail,2022-07-15,2022-08-05,791.33,691,100,100.33,-0.33,70.67,93.33,-12,Sufficient,Expired
BAT-000256,2022-07-25,Milk,Amul,liters,Polythene Packet,Online,2022-06-11,2022-06-13,302.07,171,131,131.07,-0.07,96.76,25.68,-42,Sufficient,Expired
BAT-000257,2021-10-03,Milk,Amul,liters,Tetra Pack,Online,2021-09-09,2021-10-01,164.24,162,2,2.24,-0.24,89.6,160.98,-2,Low Stock,Expired
BAT-000258,2022-11-11,Milk,Sudha,liters,Polythene Packet,Wholesale,2022-09-26,2022-09-28,450.39,118,332,332.39,-0.39,24.77,107.18,-44,Sufficient,Expired
BAT-000261,2020-07-22,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2020-06-12,2020-07-11,658.25,520,138,138.25,-0.25,59.62,92.17,-11,Sufficient,Expired
BAT-000263,2022-05-24,Milk,Mother Dairy,liters,Tetra Pack,Wholesale,2022-04-11,2022-05-06,394.34,19,375,375.34,-0.34,17.12,58.82,-18,Sufficient,Expired
BAT-000264,2020-10-01,Milk,Sudha,liters,Tetra Pack,Retail,2020-08-24,2020-09-14,385.32,369,16,16.32,-0.32,13.88,139.18,-17,Sufficient,Expired
BAT-000265,2019-12-07,Milk,Mother Dairy,liters,Polythene Packet,Retail,2019-11-06,2019-11-08,79.0,11,68,68.0,0.0,52.76,195.15,-29,Sufficient,Expired
BAT-000266,2019-07-19,Milk,Sudha,liters,Polythene Packet,Wholesale,2019-06-19,2019-06-20,761.5,176,585,585.5,-0.5,33.9,90.02,-29,Sufficient,Expired
BAT-000269,2020-06-25,Milk,Raj,liters,Polythene Packet,Retail,2020-05-14,2020-05-15,91.06,25,66,66.06,-0.06,64.1,137.44,-41,Sufficient,Expired
BAT-000270,2022-12-27,Milk,Sudha,liters,Tetra Pack,Online,2022-12-03,2022-12-26,630.29,283,347,347.29,-0.29,13.77,71.85,-1,Sufficient,Expired
BAT-000273,2022-03-08,Milk,Mother Dairy,liters,Polythene Packet,Online,2022-02-08,2022-02-10,651.16,190,461,461.16,-0.16,41.3,81.09,-26,Sufficient,Expired
BAT-000277,2020-05-14,Milk,Sudha,liters,Polythene Packet,Online,2020-03-16,2020-03-17,726.29,281,445,445.29,-0.29,23.93,181.57,-58,Sufficient,Expired
BAT-000278,2022-09-08,Milk,Raj,liters,Polythene Packet,Wholesale,2022-07-27,2022-07-29,993.12,337,656,656.12,-0.12,53.96,112.09,-41,Sufficient,Expired
BAT-000279,2021-06-12,Milk,Sudha,liters,Polythene Packet,Retail,2021-05-29,2021-05-31,446.15,101,345,345.15,-0.15,90.02,108.44,-12,Sufficient,Expired
BAT-000281,2022-09-24,Milk,Mother Dairy,liters,Polythene Packet,Online,2022-09-20,2022-09-22,140.38,106,34,34.38,-0.38,77.37,115.84,-2,Low Stock,Expired
BAT-000283,2020-11-02,Milk,Amul,liters,Tetra Pack,Wholesale,2020-09-24,2020-10-15,37.4,6,31,31.4,-0.4,14.8,142.31,-18,Sufficient,Expired
BAT-000284,2021-03-10,Milk,Raj,liters,Polythene Packet,Online,2021-01-14,2021-01-15,31.27,24,7,7.27,-0.27,50.75,74.26,-54,Low Stock,Expired
BAT-000286,2019-01-22,Milk,Mother Dairy,liters,Tetra Pack,Online,2018-12-15,2019-01-09,368.44,18,350,350.44,-0.44,38.34,171.95,-13,Sufficient,Expired
BAT-000288,2020-03-10,Milk,Mother Dairy,liters,Polythene Packet,Wholesale,2020-02-07,2020-02-08,414.35,166,248,248.35,-0.35,74.86,139.61,-31,Sufficient,Expired
BAT-000289,2022-07-27,Milk,Sudha,liters,Polythene Packet,Online,2022-06-05,2022-06-06,93.24,91,2,2.24,-0.24,58.47,50.49,-51,Low Stock,Expired
BAT-000292,2019-04-28,Milk,Sudha,liters,Tetra Pack,Retail,2019-04-06,2019-04-30,333.06,202,131,131.06,-0.06,56.32,40.94,2,Sufficient,Urgent
